term_start_date,term_end_date,current_date,start_date,end_date,starting_points,current_points
2024-08-26,2024-12-16,2024-08-12 09:00:08.145161,2024-08-26,2024-12-16,946,946
2024-08-26 00:00:00,2024-12-16 00:00:00,2024-08-12 09:00:23.094578,2024-08-26,2024-12-16,946,944
2024-08-26 00:00:00,2024-12-16 00:00:00,2024-08-12 09:05:56.773929,2024-08-26,2024-12-16,946,500
2024-08-26 00:00:00,2024-12-16 00:00:00,2024-08-12 09:20:22.962056,2024-08-26,2024-12-16,946,50
2024-08-26 00:00:00,2024-12-16 00:00:00,2024-08-12 09:20:32.231829,2024-08-26,2024-12-16,946,100
2024-08-26 00:00:00,2024-12-16 00:00:00,2024-08-12 09:22:12.138257,2024-08-26,2024-12-16,946,946
2024-08-26 00:00:00,2024-12-16 00:00:00,2024-08-12 09:22:24.155204,2024-08-26,2024-12-16,946,945
2024-08-26 00:00:00,2024-12-16 00:00:00,2024-08-12 09:22:26.705718,2024-08-26,2024-12-16,946,200
2024-08-26 00:00:00,2024-12-16 00:00:00,2024-08-08 09:31:17.653515,2024-08-26,2024-12-16,946,900
2024-08-26 00:00:00,2024-12-16 00:00:00,2024-08-31 09:35:05.294661,2024-08-26,2024-12-16,946,942
2024-08-26 00:00:00,2024-12-16 00:00:00,2024-08-31 09:35:08.257515,2024-08-26,2024-12-16,946,94
2024-05-15 00:00:00,2024-08-11 00:00:00,2024-08-03 12:23:58.620890,2024-05-15,2024-08-11,946,500
2024-05-15 00:00:00,2024-08-11 00:00:00,2024-08-03 12:24:03.430643,2024-05-15,2024-08-11,946,499
2024-08-06 00:00:00,2024-12-16 00:00:00,2024-08-12 12:31:58.053967,2024-08-06,2024-12-16,800,700
2024-08-06 00:00:00,2024-12-16 00:00:00,2024-08-12 12:32:03.624980,2024-08-06,2024-12-16,800,699
2024-08-06 00:00:00,2024-12-16 00:00:00,2024-08-12 12:32:56.238492,2024-08-06,2024-12-16,3292,3000
2024-08-26 00:00:00,2024-12-16 00:00:00,2024-08-12 12:37:22.281055,2024-08-26,2024-12-16,946,930
2024-08-26 00:00:00,2024-12-16 00:00:00,2024-08-12 12:37:37.014403,2024-08-26,2024-12-16,946,500
